facility_code,unit_code,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,emissions_factor_co2,data_first_seen,data_last_seen,dispatch_type,commencement_date,commencement_date_specificity,commencement_date_display,closure_date,closure_date_specificity,closure_date_display,expected_operation_date,expected_operation_date_specificity,expected_operation_date_display,expected_closure_date,expected_closure_date_specificity,expected_closure_date_display,construction_start_date,construction_start_date_specificity,construction_start_date_display,project_approval_date,project_approval_date_specificity,project_approval_date_display,project_lodgement_date,created_at,updated_at
TARONGN,TNPS1,coal_black,operating,443.0,480.0,NA,0.8438,2002-11-09 13:15:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-10-13 03:27:10+00:00
TARRALEA,TARRALEA,hydro,operating,90.0,94.0,NA,NA,2005-05-16 13:35:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-01-07 04:03:30+00:00
TATIARA,TATIARA1,distillate,operating,0.5,1.0,NA,0.812,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2024-11-24 23:10:05+00:00
TATURA,TATURA01,bioenergy_biogas,operating,1.1,1.0,NA,0.0201,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2025-01-07 04:05:38+00:00
TEATREE,TEATREE1,bioenergy_biogas,retired,1.0,NA,NA,0.0576,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2024-11-25 04:25:09+00:00
TEMPB,TEMPB1,battery,operating,138.0,111.0,285.0,NA,2025-05-20 08:35:00+10:00,2025-11-01 08:25:00+10:00,BIDIRECTIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-02 02:55:33+00:00,2025-10-07 00:03:36+00:00
TEMPB,TEMPBL1,battery_charging,operating,138.0,111.0,285.0,NA,2025-05-20 00:05:00+10:00,2025-11-01 12:35:00+10:00,LOAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-07 00:00:41+00:00,2025-10-07 00:03:50+00:00
TEMPB,TEMPBG1,battery_discharging,operating,138.0,111.0,285.0,NA,2025-05-20 08:35:00+10:00,2025-11-01 08:25:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-07 00:04:54+00:00,2025-10-07 00:04:01+00:00
SATGN,SATGN1,distillate,retired,154.0,NA,NA,0.957,2017-10-26 19:15:00+10:00,2021-02-25 09:05:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:18+00:00,2024-11-25 04:10:29+00:00
SATGS,SATGS1,distillate,retired,123.0,NA,NA,0.957,2017-10-26 15:50:00+10:00,2022-04-15 00:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:18+00:00,2024-11-25 04:10:12+00:00
TERALBA,TERALBA,gas_wcmg,retired,3.0,NA,NA,0.62,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2024-11-25 04:18:13+00:00
0TERANGBESS,0TERANGBESS1,battery,committed,100.0,100.0,200.0,NA,NA,NA,BIDIRECTIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-03-14 06:09:34+00:00,2025-03-25 22:58:58+00:00
0TERANGBESS,0TERANGBESSL1,battery_charging,committed,100.0,100.0,200.0,NA,NA,NA,LOAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-03-14 06:12:35+00:00,2025-03-25 22:59:12+00:00
0TERANGBESS,0TERANGBESSG1,battery_discharging,committed,100.0,100.0,200.0,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-03-14 06:14:12+00:00,2025-03-25 22:59:23+00:00
TERMSTOR,TERMSTOR,hydro,retired,2.0,NA,NA,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2025-09-09 04:05:50+00:00
BLUFF,BLUFF1,wind,operating,52.5,53.0,NA,NA,2011-07-05 15:50:00+10:00,2025-11-01 12:25:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:34:36+00:00,2024-12-19 03:22:32+00:00
THEDROP,THEDROP1,hydro,operating,2.5,3.0,NA,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-07-21 23:02:19+00:00
0TILBSF,0TILBSF,solar_utility,committed,249.0,NA,NA,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-02 03:10:44+00:00,2025-07-21 23:05:57+00:00
TIMWEST,TIMWEST,wind,operating,7.2,7.2,NA,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-01-07 04:20:59+00:00
0TOMAGOBESS,0TOMAGOBESSB1,battery,committed,500.0,500.0,2000.0,NA,NA,NA,BIDIRECTIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-03 23:39:45+00:00,2025-08-03 23:48:21+00:00
0TOMAGOBESS,0TOMAGOBESSG1,battery_discharging,committed,500.0,500.0,2000.0,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-03 23:48:50+00:00,2025-08-03 23:50:42+00:00
0TOMAGOBESS,0TOMAGOBESSL1,battery_charging,committed,500.0,500.0,2000.0,NA,NA,NA,LOAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-03 23:50:51+00:00,2025-08-03 23:53:19+00:00
TOORAWF,TOORAWF,wind,operating,21.0,21.0,NA,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-01-07 04:21:33+00:00
TIB,TIBG1,battery_discharging,operating,250.0,250.0,250.0,NA,2023-04-26 12:05:00+10:00,2025-11-01 12:10:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-05-13 04:47:41+00:00
TIB,TIB1,battery,operating,250.0,250.0,250.0,NA,2024-08-08 04:15:00+10:00,2025-11-01 12:10:00+10:00,BIDIRECTIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-06 23:30:41+00:00,2025-05-13 04:49:04+00:00
TIB,TIBL1,battery_charging,operating,250.0,250.0,250.0,NA,2023-04-26 11:15:00+10:00,2025-11-01 12:35:00+10:00,LOAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-05-13 04:48:24+00:00
TORRIS,TORRB4,gas_steam,operating,200.0,210.0,NA,0.5758,1998-12-07 02:50:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-10-05 22:53:50+00:00
TORRIS,TORRB3,gas_steam,operating,200.0,210.0,NA,0.5758,1998-12-07 02:50:00+10:00,2025-10-18 16:45:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-10-05 22:53:32+00:00
